■ 역대 박스오피스 (통합전산망 집계 기준),,,,,,,,,
- 조회일: 2026-06-02,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,
▶ 검색조건 [    영화구분: 전체   국적: 전체   지역: 전체 ],,,,,,,,,
순위,영화명,개봉일,매출액,관객수,스크린수,상영횟수,대표국적,국적,배급사
1,명량,2014-07-30,"135,765,176,310","17,616,791","1,587","188,745",한국,한국,(주)씨제이이엔엠
2,왕과 사는 남자,2026-02-04,"163,024,847,730","16,889,944","2,262","500,923",한국,한국,(주)쇼박스
3,극한직업,2019-01-23,"139,658,409,516","16,266,641","2,003","292,821",한국,한국,(주)씨제이이엔엠
4,신과함께-죄와 벌,2017-12-20,"115,727,528,087","14,414,658","1,912","214,631",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
5,국제시장,2014-12-17,"110,979,357,230","14,269,368","1,044","212,757",한국,한국,(주)씨제이이엔엠
6,어벤져스: 엔드게임,2019-04-24,"122,490,648,020","13,977,409","2,835","246,411",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
7,겨울왕국 2,2019-11-21,"115,033,955,041","13,768,797","2,648","301,536",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
8,베테랑,2015-08-05,"105,171,985,250","13,414,649","1,115","199,360",한국,한국,(주)씨제이이엔엠
9,아바타,2009-12-17,"125,297,849,000","13,337,833",910,"164,437",미국,미국,"주식회사 해리슨앤컴퍼니,이십세기폭스코리아(주)"
10,서울의 봄,2023-11-22,"127,931,462,212","13,128,587","2,463","374,551",한국,한국,메가박스중앙(주) 플러스엠 엔터테인먼트
11,도둑들,2012-07-25,"93,672,497,700","12,984,701","1,091","155,487",한국,"한국,홍콩",(주)쇼박스
12,7번방의 선물,2013-01-23,"91,439,584,170","12,812,473",866,"167,018",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
13,알라딘,2019-05-23,"109,083,614,867","12,800,870","1,409","284,954",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
14,암살,2015-07-22,"98,473,432,681","12,707,491","1,519","175,334",한국,한국,(주)쇼박스
15,범죄도시2,2022-05-18,"131,298,796,478","12,693,415","2,521","355,768",한국,한국,"주식회사 에이비오엔터테인먼트,메가박스중앙(주) 플러스엠 엔터테인먼트"
16,"광해, 왕이 된 남자",2012-09-13,"88,914,119,969","12,324,158","1,001","203,477",한국,한국,(주)씨제이이엔엠
17,신과함께-인과 연,2018-08-01,"102,689,349,539","12,278,010","2,235","180,750",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
18,택시운전사,2017-08-02,"95,873,490,149","12,189,988","1,906","184,232",한국,한국,(주)쇼박스
19,파묘,2024-02-22,"115,158,254,914","11,914,882","2,367","364,964",한국,한국,(주)쇼박스
20,부산행,2016-07-20,"93,188,170,548","11,567,816","1,788","151,535",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
21,범죄도시4,2024-04-24,"110,051,043,734","11,502,928","2,980","375,436",한국,한국,"주식회사 에이비오엔터테인먼트,메가박스중앙(주) 플러스엠 엔터테인먼트"
22,변호인,2013-12-18,"82,876,713,788","11,375,399",925,"152,290",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
23,해운대,2009-07-22,"81,028,720,000","11,325,117",764,"154,332",한국,한국,씨제이엔터테인먼트
24,어벤져스: 인피니티 워,2018-04-25,"100,081,428,549","11,233,176","2,553","243,677",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
25,괴물,2006-07-27,"66,618,683,300","10,900,281",647,"112,933",한국,한국,(주)쇼박스
26,아바타: 물의 길,2022-12-14,"137,976,685,459","10,824,614","2,809","284,028",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
27,범죄도시3,2023-05-31,"104,687,737,771","10,682,813","2,582","311,915",한국,한국,"주식회사 에이비오엔터테인먼트,메가박스중앙(주) 플러스엠 엔터테인먼트"
28,왕의 남자,2005-12-29,"66,014,697,400","10,513,207",313,"111,186",한국,한국,(주)시네마서비스
29,어벤져스: 에이지 오브 울트론,2015-04-23,"88,645,598,646","10,504,487","1,843","194,385",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아(주)"
30,인터스텔라,2014-11-06,"83,702,019,500","10,387,691","1,410","171,427",미국,"미국,영국",워너브러더스 코리아(주)
31,겨울왕국,2014-01-16,"82,778,068,337","10,329,222","1,010","160,138",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)"
32,기생충,2019-05-30,"87,506,223,295","10,317,318","1,948","207,387",한국,한국,(주)씨제이이엔엠
33,보헤미안 랩소디,2018-10-31,"86,280,975,785","9,948,386","1,179","232,226",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)"
34,검사외전,2016-02-03,"77,320,403,264","9,707,581","1,812","153,532",한국,한국,(주)쇼박스
35,엑시트,2019-07-31,"79,260,774,062","9,429,024","1,660","202,512",한국,한국,(주)씨제이이엔엠
36,설국열차,2013-08-01,"67,045,274,880","9,354,928","1,128","126,085",한국,"한국,체코",(주)씨제이이엔엠
37,관상,2013-09-11,"66,009,461,500","9,135,713","1,240","125,119",한국,한국,(주)쇼박스
38,아이언맨 3,2013-04-25,"70,853,737,320","9,006,173","1,389","164,372",미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
39,인사이드 아웃 2,2024-06-12,"84,514,151,036","8,799,611","2,619","331,362",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
40,캡틴 아메리카: 시빌 워,2016-04-27,"72,686,676,527","8,678,761","1,991","161,744",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아(주)"
41,해적: 바다로 간 산적,2014-08-06,"66,372,140,706","8,666,208",910,"133,354",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
42,수상한 그녀,2014-01-22,"62,755,951,849","8,665,781","1,027","137,070",한국,한국,(주)씨제이이엔엠
43,주토피아 2,2025-11-26,"82,881,043,200","8,611,440","2,383","274,659",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
44,탑건: 매버릭,2022-06-22,"88,917,293,884","8,280,685","1,975","255,176",미국,미국,롯데컬처웍스(주)롯데엔터테인먼트
45,백두산,2019-12-19,"69,832,288,800","8,253,570","1,971","174,507",한국,한국,"(주)씨제이이엔엠,(주)덱스터스튜디오"
46,과속스캔들,2008-12-03,"53,801,341,400","8,223,342",408,"145,556",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
47,국가대표,2009-07-29,"57,570,773,000","8,035,181",570,"131,671",한국,한국,(주)쇼박스
48,스파이더맨: 파 프롬 홈,2019-07-02,"69,033,177,100","8,023,606","2,142","181,035",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
49,디워,2007-08-01,"49,340,084,700","7,855,474",622,"96,439",한국,한국,(주)쇼박스
50,공조,2017-01-18,"63,783,534,886","7,817,686","1,392","142,999",한국,한국,(주)씨제이이엔엠
51,트랜스포머 3,2011-06-29,"74,842,906,588","7,785,189","1,409","124,464",미국,미국,(주)씨제이이엔엠
52,히말라야,2015-12-16,"60,176,863,015","7,760,011","1,095","142,717",한국,한국,(주)씨제이이엔엠
53,스파이더맨: 노 웨이 홈,2021-12-15,"75,198,679,210","7,552,467","2,948","276,710",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
54,베테랑2,2024-09-13,"72,479,945,814","7,525,906","2,691","279,745",한국,한국,(주)씨제이이엔엠
55,미션임파서블:고스트프로토콜,2011-12-15,"57,302,764,500","7,508,991","1,024","114,770",미국,미국,(주)씨제이이엔엠
56,밀정,2016-09-07,"61,270,079,831","7,500,457","1,444","138,162",한국,"한국,미국",워너브러더스 코리아(주)
57,최종병기 활,2011-08-10,"55,828,707,500","7,470,754",615,"130,054",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
58,트랜스포머,2007-06-28,"47,740,418,203","7,405,449",863,"93,109",미국,미국,"롯데컬처웍스(주)롯데엔터테인먼트,씨제이엔터테인먼트"
59,트랜스포머: 패자의 역습,2009-06-24,"50,699,866,000","7,393,443","1,154","115,150",미국,미국,씨제이엔터테인먼트
60,써니,2011-05-04,"54,042,547,200","7,363,587",546,"149,160",한국,한국,(주)씨제이이엔엠
61,한산: 용의 출현,2022-07-27,"73,717,915,977","7,267,202","2,223","217,795",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
62,스파이더맨: 홈 커밍,2017-07-05,"59,125,813,820","7,258,678","1,965","164,448",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
63,엘리멘탈,2023-06-14,"71,152,108,486","7,241,486","1,664","247,524",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
64,1987,2017-12-27,"58,175,937,145","7,233,076","1,299","138,239",한국,한국,(주)씨제이이엔엠
65,베를린,2013-01-30,"52,360,129,137","7,166,944",894,"111,837",한국,"한국,독일",(주)씨제이이엔엠
66,마스터,2016-12-21,"58,068,236,865","7,150,586","1,501","126,927",한국,한국,(주)씨제이이엔엠
67,터널,2016-08-10,"57,530,903,417","7,120,905","1,105","113,215",한국,한국,(주)쇼박스
68,어벤져스,2012-04-26,"59,644,552,758","7,087,971",967,"112,559",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,한국소니픽쳐스릴리징브에나비스타영화㈜"
69,내부자들,2015-11-19,"56,605,193,557","7,073,581","1,129","152,783",한국,한국,(주)쇼박스
70,인천상륙작전,2016-07-27,"55,118,976,303","7,051,866","1,049","97,041",한국,한국,(주)씨제이이엔엠
71,공조2: 인터내셔날,2022-09-07,"70,918,411,586","6,983,077","2,389","275,817",한국,한국,(주)씨제이이엔엠
72,럭키,2016-10-13,"56,445,477,256","6,975,647","1,234","155,993",한국,한국,(주)쇼박스
73,은밀하게 위대하게,2013-06-05,"48,700,887,413","6,959,083","1,341","117,463",한국,한국,(주)쇼박스
74,범죄도시,2017-10-03,"56,322,153,349","6,880,546","1,315","149,389",한국,한국,"메가박스중앙(주) 플러스엠 엔터테인먼트,(주)키위미디어그룹"
75,곡성,2016-05-12,"55,864,308,382","6,879,989","1,485","130,332",한국,"한국,미국",이십세기폭스코리아(주)
76,화려한 휴가,2007-07-25,"44,098,824,600","6,855,433",551,"96,536",한국,한국,씨제이엔터테인먼트
77,아바타: 불과 재,2025-12-17,"78,912,610,960","6,744,610","2,582","198,466",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
78,"좋은 놈, 나쁜 놈, 이상한 놈",2008-07-17,"43,756,029,300","6,686,082",824,"93,583",한국,한국,씨제이엔터테인먼트
79,늑대소년,2012-10-31,"46,602,781,400","6,655,821",854,"109,263",한국,한국,(주)씨제이이엔엠
80,군함도,2017-07-26,"50,510,748,168","6,592,178","2,027","108,784",한국,한국,(주)씨제이이엔엠
81,미션 임파서블: 폴아웃,2018-07-25,"55,923,873,912","6,589,061","1,957","101,820",미국,미국,롯데컬처웍스(주)롯데엔터테인먼트
82,웰컴 투 동막골,2005-08-04,"40,285,363,500","6,430,103",356,"71,968",한국,한국,(주)쇼박스
83,다크 나이트 라이즈,2012-07-19,"47,910,613,000","6,428,574","1,210","84,755",미국,"미국,영국",워너브러더스 코리아(주)
84,사도,2015-09-16,"48,847,504,501","6,247,832","1,210","124,286",한국,한국,(주)쇼박스
85,아저씨,2010-08-04,"47,112,062,000","6,179,701",500,"110,055",한국,한국,씨제이엔터테인먼트
86,킹스맨 : 시크릿 에이전트,2015-02-11,"50,369,009,795","6,129,681",728,"139,988",미국,"미국,영국",이십세기폭스코리아(주)
87,미션 임파서블: 로그네이션,2015-07-30,"48,547,353,607","6,126,488","1,202","89,683",미국,미국,롯데쇼핑㈜롯데엔터테인먼트
